dataset_ID;gene_symbol;HGNC_updated;system;stress_type;technique;consensus;comb_technique;consensus_comb_technique (+1 reward);consensus_class
PC3_ars_G3BP1_pl_wt;COPZ1;WAHR;PC3;arsenite;bp;4;bp_fanci;5;medium
HeLa_ars_G3BP1_fanci_wt;COPZ1;WAHR;HeLa;arsenite;fanci;4;bp_fanci;5;medium
HeLa_osm_G3BP1_fanci_wt;COPZ1;WAHR;HeLa;osmosis;fanci;4;bp_fanci;5;medium
U251_ars_G3BP1_bp_wt;COPZ2;WAHR;U251;arsenite;bp;1;bp;1;low
HeLa_ars_G3BP1_fanci_wt;COQ10A;WAHR;HeLa;arsenite;fanci;3;fanci;3;low
HeLa_heat_G3BP1_fanci_wt;COQ10A;WAHR;HeLa;heatshock;fanci;3;fanci;3;low
HeLa_osm_G3BP1_fanci_wt;COQ10A;WAHR;HeLa;osmosis;fanci;3;fanci;3;low
PC3_ars_G3BP1_pl_wt;COQ10B;WAHR;PC3;arsenite;bp;5;bp_fanci;6;medium
HeLa_ars_G3BP1_fanci_wt;COQ10B;WAHR;HeLa;arsenite;fanci;5;bp_fanci;6;medium
HeLa_heat_G3BP1_fanci_wt;COQ10B;WAHR;HeLa;heatshock;fanci;5;bp_fanci;6;medium
HeLa_osm_G3BP1_fanci_wt;COQ10B;WAHR;HeLa;osmosis;fanci;5;bp_fanci;6;medium
HeLa_UV_G3BP1_fanci_wt;COQ10B;WAHR;HeLa;UV-light;fanci;5;bp_fanci;6;medium
PC3_ars_G3BP1_pl_wt;COQ2;WAHR;PC3;arsenite;bp;4;bp_fanci;5;medium
HeLa_ars_G3BP1_fanci_wt;COQ2;WAHR;HeLa;arsenite;fanci;4;bp_fanci;5;medium
HeLa_heat_G3BP1_fanci_wt;COQ2;WAHR;HeLa;heatshock;fanci;4;bp_fanci;5;medium
HeLa_osm_G3BP1_fanci_wt;COQ2;WAHR;HeLa;osmosis;fanci;4;bp_fanci;5;medium
PC3_ars_G3BP1_pl_wt;COQ3;WAHR;PC3;arsenite;bp;1;bp;1;low
PC3_ars_G3BP1_pl_wt;COQ5;WAHR;PC3;arsenite;bp;1;bp;1;low
HeLa_ars_G3BP1_fanci_wt;COQ7;WAHR;HeLa;arsenite;fanci;4;fanci;4;medium
HeLa_heat_G3BP1_fanci_wt;COQ7;WAHR;HeLa;heatshock;fanci;4;fanci;4;medium
HeLa_osm_G3BP1_fanci_wt;COQ7;WAHR;HeLa;osmosis;fanci;4;fanci;4;medium
HeLa_UV_G3BP1_fanci_wt;COQ7;WAHR;HeLa;UV-light;fanci;4;fanci;4;medium
HEK293T_ars_G3BP1_pl_wt;COQ8A;WAHR;HEK293T;arsenite;pl;5;bp_pl;6;medium
